section,array,year,scope,metric,value,unit,notes
correlation,Hanwha,2023,past_only,maximum_vs_hour_ramp_spearman,0.0006318784521686356,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,maximum_vs_abs_hour_ramp_pearson,0.5659241942083635,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,maximum_vs_abs_hour_ramp_spearman,0.8355994797082448,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,range_vs_next_ramp_pearson,-0.016913470343943672,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,range_vs_next_ramp_spearman,0.04166494417338797,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,range_vs_hour_ramp_pearson,-0.10294926742210438,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,range_vs_hour_ramp_spearman,-0.03302878628231072,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,range_vs_abs_hour_ramp_pearson,0.4656007204326917,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,range_vs_abs_hour_ramp_spearman,0.842161546200519,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,first_last_change_vs_next_ramp_pearson,-0.06414217249620993,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,first_last_change_vs_next_ramp_spearman,0.13733110437396592,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,first_last_change_vs_hour_ramp_pearson,0.08875845023264922,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,first_last_change_vs_hour_ramp_spearman,0.2710132162442875,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,first_last_change_vs_abs_hour_ramp_pearson,0.01158871512105026,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,first_last_change_vs_abs_hour_ramp_spearman,0.05534402599406271,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,max_abs_first_difference_vs_next_ramp_pearson,-0.010183507153539589,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,max_abs_first_difference_vs_next_ramp_spearman,0.018859538121111494,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,max_abs_first_difference_vs_hour_ramp_pearson,-0.08735898160622725,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,max_abs_first_difference_vs_hour_ramp_spearman,-0.050587324310573153,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,max_abs_first_difference_vs_abs_hour_ramp_pearson,0.358203001615372,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,max_abs_first_difference_vs_abs_hour_ramp_spearman,0.8381200721113357,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,slope_vs_next_ramp_pearson,0.033321096806387916,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,slope_vs_next_ramp_spearman,0.13038913372380628,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,slope_vs_hour_ramp_pearson,0.0644327578509932,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,slope_vs_hour_ramp_spearman,0.23428624947080662,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,slope_vs_abs_hour_ramp_pearson,0.06500823852442623,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,slope_vs_abs_hour_ramp_spearman,0.05518029452780798,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,coefficient_of_variation_vs_next_ramp_pearson,-0.027989736259593678,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,coefficient_of_variation_vs_next_ramp_spearman,-0.052414378552331845,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,coefficient_of_variation_vs_hour_ramp_pearson,-0.03659509816049348,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,coefficient_of_variation_vs_hour_ramp_spearman,-0.1506088653299739,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,coefficient_of_variation_vs_abs_hour_ramp_pearson,-0.08664305243696756,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,coefficient_of_variation_vs_abs_hour_ramp_spearman,-0.04383994569661455,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,valid_count_vs_next_ramp_pearson,-0.007235787320445411,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,valid_count_vs_next_ramp_spearman,-0.04557229364534697,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,valid_count_vs_hour_ramp_pearson,-0.13370395836814222,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,valid_count_vs_hour_ramp_spearman,-0.09546452893543263,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,valid_count_vs_abs_hour_ramp_pearson,-0.12292142960400292,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,valid_count_vs_abs_hour_ramp_spearman,0.04735691679843065,rho,"Feature interval is (t-5min,t]; target begins at t."
incremental,Hanwha,2023,past_only,std_partial_corr_abs_hour_ramp_given_mean,0.11266738187847478,r,
incremental,Hanwha,2023,past_only,range_partial_corr_abs_hour_ramp_given_mean,0.13778709403797942,r,
incremental,Hanwha,2023,past_only,max_abs_first_difference_partial_corr_abs_hour_ramp_given_mean,0.10621827797880799,r,
incremental,Hanwha,2023,past_only,slope_partial_corr_abs_hour_ramp_given_mean,0.09570968312283593,r,
incremental,Hanwha,2023,past_only,coefficient_of_variation_partial_corr_abs_hour_ramp_given_mean,-0.07273573051978967,r,
ramp_group,Hanwha,2023,stable,mean_mean,0.0007118807118807115,,
ramp_group,Hanwha,2023,stable,std_mean,0.0011972320330542114,,
ramp_group,Hanwha,2023,stable,range_mean,0.002886002886002886,,
ramp_group,Hanwha,2023,stable,max_abs_first_difference_mean,0.002886002886002886,,
ramp_group,Hanwha,2023,stable,slope_mean,2.4665978732135087e-06,,
ramp_group,Hanwha,2023,stable,coefficient_of_variation_mean,1.8924518512946973,,
ramp_group,Hanwha,2023,moderate,mean_mean,311.2144077022521,,
ramp_group,Hanwha,2023,moderate,std_mean,43.62988759003388,,
ramp_group,Hanwha,2023,moderate,range_mean,153.42136150234742,,
