section,model,seed,scope,horizon,rmse_kw,mae_kw,diff_mae_kw,artifact_source,n,positive_count,prevalence,auroc,auprc,brier,f1,precision,recall,miss_rate,onset_time_mae_steps,onset_time_mae_minutes,onset_time_n,up_count,down_count,up_recall,down_recall,direction_accuracy,identification_rate,probability_bin,mean_predicted_probability,observed_event_rate,actual_epochs,best_epoch,best_validation_first_event_nll,stop_reason,numerically_finite,training_seconds,mean_epoch_seconds,backbone_parameters,power_head_parameters,event_head_parameters,total_inference_parameters,trainable_parameters,trainable_fraction,inference_ms_per_sample,threshold_kw,power_max_abs_difference_kw,power_mean_abs_difference_kw,max_abs_difference_kw,mean_abs_difference_kw,rmse_difference_kw,mae_difference_kw
reliability,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,3735,,,,,,,,,,,,,,,,,,,"[0.9,1.0]",0.9923906326293945,0.33306559571619815,,,,,,,,,,,,,,,,,,,,,
first_onset,STANDARD_ONSET_HAZARD,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\ONSET_HAZARD\42\test_predictions.npz,17401,5623,0.3231423481409114,0.9658038221895511,0.8857599722402826,0.0703168658982277,0.830918777455837,0.8756895193065406,0.7905032900586876,0.20949670994131248,2.7921259842519683,13.96062992125984,4445,3125,2498,0.4768,0.533226581265012,0.6348706411698538,,,,,,,,,,,,,,,,,,,,,,,,,
first_onset,STANDARD_ONSET_HAZARD,42,daylight,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\ONSET_HAZARD\42\test_predictions.npz,9655,5623,0.5823925427239772,0.9002379417443663,0.8858187002688145,0.12664229870809693,0.830918777455837,0.8756895193065406,0.7905032900586876,0.20949670994131248,2.7921259842519683,13.96062992125984,4445,3125,2498,0.4768,0.533226581265012,0.6348706411698538,,,,,,,,,,,,,,,,,,,,,,,,,
first_onset,STANDARD_ONSET_HAZARD,42,sunrise_sunset_transition,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\ONSET_HAZARD\42\test_predictions.npz,7134,2742,0.3843566021867115,0.930690905419176,0.8335078999875638,0.10956086129361771,0.7588948519181077,0.8339886413280909,0.6962071480671043,0.3037928519328957,2.71765322158198,13.5882661079099,1909,1660,1082,0.4114457831325301,0.6081330868761553,0.7024620220010477,,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STANDARD_ONSET_HAZARD,42,full_timeline,1,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\ONSET_HAZARD\42\test_predictions.npz,930,930,0.05344520429860353,,,,,,,,,,,499,431,,,,0.8365591397849462,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STANDARD_ONSET_HAZARD,42,full_timeline,2,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\ONSET_HAZARD\42\test_predictions.npz,930,930,0.05344520429860353,,,,,,,,,,,499,431,,,,0.8419354838709677,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STANDARD_ONSET_HAZARD,42,full_timeline,3,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\ONSET_HAZARD\42\test_predictions.npz,771,771,0.044307798402390665,,,,,,,,,,,416,355,,,,0.833981841763943,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STANDARD_ONSET_HAZARD,42,full_timeline,4,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\ONSET_HAZARD\42\test_predictions.npz,633,633,0.03637721970001724,,,,,,,,,,,348,285,,,,0.8278041074249605,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STANDARD_ONSET_HAZARD,42,full_timeline,5,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\ONSET_HAZARD\42\test_predictions.npz,511,511,0.02936612838342624,,,,,,,,,,,280,231,,,,0.8082191780821918,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STANDARD_ONSET_HAZARD,42,full_timeline,6,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\ONSET_HAZARD\42\test_predictions.npz,426,426,0.0244813516464571,,,,,,,,,,,238,188,,,,0.8051643192488263,,,,,,,,,,,,,,,,,,,,,,,,
