site,model,h,support,analysis,scope,selected_alpha,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
NIST_GROUND,Ridge,96,common_H144,primary,low-power,0.1,1368417,20988,1688390695.2056441,38699211.53991328,31806031.97765678,35.12588253128052,28.28027680152562,23.242938356989704
NIST_GROUND,Ridge,96,common_H144,daily_matched,full,0.1,2084401,21885,4464061524.203563,73055472.24741729,19098389.390435416,46.277985887591534,35.048664938952385,9.162531293371773
NIST_GROUND,Ridge,96,common_H144,daily_matched,power-active,0.1,726956,14870,2789469278.338363,34657080.60529489,-12452036.848597366,61.94506723339766,47.67424796727022,-17.129010350829166
NIST_GROUND,Ridge,96,common_H144,daily_matched,low-power,0.1,1357445,20988,1674592245.8651972,38398391.64212236,31550426.239032783,35.12314663718376,28.28725410025626,23.24250797566957
NIST_GROUND,Ridge,144,horizon_specific,primary,full,0.1,3151440,21885,7564599475.126855,120099615.25026116,34097471.43838128,48.99349795744433,38.109440525683866,10.819647982630569
NIST_GROUND,Ridge,144,horizon_specific,primary,power-active,0.1,1106213,18602,4537676448.711554,56163467.53577592,-18049956.415036324,64.04679237456048,50.77093429183704,-16.316890522020916
NIST_GROUND,Ridge,144,horizon_specific,primary,low-power,0.1,2045227,21885,3026923026.4153,63936147.71448554,52147427.853417665,38.470685933716595,31.261149845217936,25.497134476230592
NIST_GROUND,Ridge,144,horizon_specific,daily_matched,full,0.1,3128676,21885,7498483569.529099,119175436.9584695,33912139.23315071,48.9560564327245,38.09133223078053,10.839134264190575
NIST_GROUND,Ridge,144,horizon_specific,daily_matched,power-active,0.1,1098178,18599,4494813841.231081,55705326.48316302,-17833894.54737797,63.97635386747051,50.72522531243844,-16.2395299736272
NIST_GROUND,Ridge,144,horizon_specific,daily_matched,low-power,0.1,2030498,21885,3003669728.298017,63470110.47530663,51746033.78052873,38.461374957624685,31.258395957694432,25.484405195439116
NIST_GROUND,Ridge,144,common_H144,primary,full,0.1,3151440,21885,7564599475.126855,120099615.25026116,34097471.43838128,48.99349795744433,38.109440525683866,10.819647982630569
NIST_GROUND,Ridge,144,common_H144,primary,power-active,0.1,1106213,18602,4537676448.711554,56163467.53577592,-18049956.415036324,64.04679237456048,50.77093429183704,-16.316890522020916
NIST_GROUND,Ridge,144,common_H144,primary,low-power,0.1,2045227,21885,3026923026.4153,63936147.71448554,52147427.853417665,38.470685933716595,31.261149845217936,25.497134476230592
NIST_GROUND,Ridge,144,common_H144,daily_matched,full,0.1,3128676,21885,7498483569.529099,119175436.9584695,33912139.23315071,48.9560564327245,38.09133223078053,10.839134264190575
NIST_GROUND,Ridge,144,common_H144,daily_matched,power-active,0.1,1098178,18599,4494813841.231081,55705326.48316302,-17833894.54737797,63.97635386747051,50.72522531243844,-16.2395299736272
NIST_GROUND,Ridge,144,common_H144,daily_matched,low-power,0.1,2030498,21885,3003669728.298017,63470110.47530663,51746033.78052873,38.461374957624685,31.258395957694432,25.484405195439116
NIST_GROUND,Ridge+day,12,horizon_specific,primary,full,1000.0,302628,25219,105620984.80149357,3114627.913974548,217442.485984921,18.681878892962644,10.29193568993797,0.7185141030734796
NIST_GROUND,Ridge+day,12,horizon_specific,primary,power-active,1000.0,109258,10161,96345370.90457681,2237968.696525789,-225971.4052283444,29.69537426821811,20.48333940330034,-2.06823669871629
NIST_GROUND,Ridge+day,12,horizon_specific,primary,low-power,1000.0,193370,17232,9275613.896916743,876659.2174487604,443413.8912132654,6.9259090262339384,4.533584410450227,2.2930852314902284
NIST_GROUND,Ridge+day,12,horizon_specific,daily_matched,full,1000.0,300173,25219,103851751.01262164,3070140.5361105725,217262.42045908258,18.600349251645486,10.227903695903937,0.7237906822368521
NIST_GROUND,Ridge+day,12,horizon_specific,daily_matched,power-active,1000.0,108291,10158,95008194.95189212,2212840.5588310882,-217055.7496219768,29.619952071528655,20.43420560186062,-2.004374782964206
NIST_GROUND,Ridge+day,12,horizon_specific,daily_matched,low-power,1000.0,191882,17227,8843556.060729496,857299.977279485,434318.1700810594,6.788852115658217,4.467849914423891,2.263464890302683
NIST_GROUND,Ridge+day,12,common_H144,primary,full,1000.0,262620,21885,90477376.52204417,2697574.0860387385,187436.57010553346,18.56120217113614,10.271777039215362,0.7137178055956647
NIST_GROUND,Ridge+day,12,common_H144,primary,power-active,1000.0,93701,8716,82504804.88630901,1935334.7320987496,-182787.937006026,29.673413455711238,20.654365824257475,-1.9507575906983492
NIST_GROUND,Ridge+day,12,common_H144,primary,low-power,1000.0,168919,15042,7972571.635735167,762239.3539399899,370224.50711155945,6.870051049934309,4.512454809346432,2.1917280300709776
NIST_GROUND,Ridge+day,12,common_H144,daily_matched,full,1000.0,260249,21885,88751929.36376353,2654479.7017491995,187337.35691338696,18.466915702542195,10.199769074037555,0.7198389116322712
NIST_GROUND,Ridge+day,12,common_H144,daily_matched,power-active,1000.0,92794,8713,81209781.30667044,1911434.3471488683,-173865.9375174734,29.583136847883697,20.598684690269504,-1.8736765040570875
