site,model,seed,neural_source,h,hours,support,analysis,scope,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias,weighted_MSE_contribution
Hanwha,TCN,43,TCN,12,1.0,horizon_specific,daily_matched,full,79392,6625,2232.084573262129,8995.044027487327,1026.123757668137,0.16767447362967847,0.11329912368358686,0.012924775262849367,0.028114729106989738
Hanwha,TCN,43,TCN,12,1.0,horizon_specific,daily_matched,power-active,36421,3225,1769.1747534736155,5739.128129393637,-338.4628960348964,0.22039890559875197,0.15757744513861885,-0.009293069823313375,0.02228404314633232
Hanwha,TCN,43,TCN,12,1.0,horizon_specific,daily_matched,low-power,42971,3810,462.9098197885138,3255.91589809369,1364.5866537030333,0.1037911840898744,0.07577007512261036,0.03175599017251247,0.005830685960657419
Hanwha,TCN,43,TCN,48,4.0,horizon_specific,primary,full,290352,6049,99619.68146117762,97771.55057204694,-47006.97984187718,0.5857471219996995,0.33673455175802797,-0.16189652505192725,0.3430996909309308
Hanwha,TCN,43,TCN,48,4.0,horizon_specific,primary,power-active,132649,3522,89379.81581821134,70995.7863222865,-59923.223191140365,0.8208574375119982,0.5352153904084199,-0.4517427435648996,0.3078326163353837
Hanwha,TCN,43,TCN,48,4.0,horizon_specific,primary,low-power,157703,4098,10239.865642966271,26775.764249760447,12916.243349263174,0.2548162684851208,0.16978601706854307,0.08190233127627992,0.03526707459554703
Hanwha,TCN,43,TCN,48,4.0,horizon_specific,daily_matched,full,289920,6049,99575.45370512077,97664.90316814695,-47058.340101907845,0.5860532233555337,0.33686845739565036,-0.16231491481066448,0.34345838060541106
Hanwha,TCN,43,TCN,48,4.0,horizon_specific,daily_matched,power-active,132649,3522,89379.81581821134,70995.7863222865,-59923.223191140365,0.8208574375119982,0.5352153904084199,-0.4517427435648996,0.30829130731998944
Hanwha,TCN,43,TCN,48,4.0,horizon_specific,daily_matched,low-power,157271,4098,10195.637886909408,26669.11684586046,12864.883089232511,0.25461435022252515,0.1695742816276393,0.08180073306097443,0.03516707328542152
Hanwha,TCN,43,TCN,96,8.0,horizon_specific,primary,full,506976,5281,323391.8020717122,244322.73910284502,-112013.9604470971,0.7986763103326339,0.4819217065558232,-0.22094529217773048,0.6378838486865497
Hanwha,TCN,43,TCN,96,8.0,horizon_specific,primary,power-active,228420,3881,288317.4588344806,187277.66435672838,-144319.86505780864,1.1234879200658685,0.8198829540177234,-0.6318179890456556,0.5687004095548519
Hanwha,TCN,43,TCN,96,8.0,horizon_specific,primary,low-power,278556,4482,35074.34323723161,57045.07474611662,32305.904610711546,0.3548448570109278,0.20478853353048082,0.1159763372920043,0.06918343913169778
Hanwha,TCN,43,TCN,96,8.0,horizon_specific,daily_matched,full,506112,5281,323241.76659748016,244057.55503397202,-112093.58193428234,0.7991722927194003,0.48222044731990554,-0.22147979485624197,0.6386763534503829
Hanwha,TCN,43,TCN,96,8.0,horizon_specific,daily_matched,power-active,228420,3881,288317.4588344806,187277.66435672838,-144319.86505780864,1.1234879200658685,0.8198829540177234,-0.6318179890456556,0.5696712562327718
Hanwha,TCN,43,TCN,96,8.0,horizon_specific,daily_matched,low-power,277692,4482,34924.30776299958,56779.89067724362,32226.283123526304,0.35463550949391565,0.2044707470047521,0.11605045562539182,0.06900509721761108
Hanwha,TCN,43,TCN,144,12.0,horizon_specific,primary,full,651024,4521,366477.33713957213,311539.22683080897,-125212.60043816367,0.7502829235459614,0.4785372379986129,-0.19233177338802207,0.5629244653646749
