site,model,seed,neural_source,lead,lead_hours,scope,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
Hanwha,TCN,42,TCN,55,4.583333333333333,full,4512,4512,4516.0826134805575,2865.5574182181626,-1332.3445998056086,1.0004523149795777,0.6350969455270751,-0.2952891400278388
Hanwha,TCN,42,TCN,55,4.583333333333333,power-active,1781,1781,3920.5546695903936,2051.480666583404,-1582.2737305890769,1.4836853120957585,1.1518701103781044,-0.8884187145362588
Hanwha,TCN,42,TCN,56,4.666666666666667,full,4512,4512,4615.165008848027,2911.6535899898954,-1373.6021051637144,1.011367680566436,0.6453132956537889,-0.30443309068344737
Hanwha,TCN,42,TCN,56,4.666666666666667,power-active,1794,1794,4015.5021482832503,2090.162530422691,-1611.67419154245,1.4960934168238202,1.1650850225321576,-0.8983691145721572
Hanwha,TCN,42,TCN,57,4.75,full,4512,4512,4665.55475139008,2926.407368273608,-1355.8694863787505,1.0168738981247958,0.6485831933230514,-0.30050298900238265
Hanwha,TCN,42,TCN,57,4.75,power-active,1807,1807,4048.8608525118434,2111.4400142175145,-1612.5683685210533,1.4968812537511713,1.1684781484324929,-0.8924008680249327
Hanwha,TCN,42,TCN,58,4.833333333333333,full,4512,4512,4755.822639729694,2953.2472655895326,-1394.5054221077662,1.026663871777833,0.6545317521253396,-0.3090659180203383
Hanwha,TCN,42,TCN,58,4.833333333333333,power-active,1820,1820,4140.016857494844,2147.5368297189707,-1638.1997341379756,1.5082223102331695,1.1799652910543794,-0.9001097440318547
Hanwha,TCN,42,TCN,59,4.916666666666667,full,4512,4512,4780.210759481409,2961.667988852474,-1364.4214409189372,1.029292900003949,0.6563980471747505,-0.3023983689979914
Hanwha,TCN,42,TCN,59,4.916666666666667,power-active,1833,1833,4149.693601042519,2162.9650915563107,-1621.0909220650792,1.5046198362485388,1.1800136887923136,-0.8843922106192467
Hanwha,TCN,42,TCN,60,5.0,full,4512,4512,4774.508959491181,2960.459412522124,-1339.3233169421337,1.0286788503669133,0.6561301889455061,-0.29683584152086295
Hanwha,TCN,42,TCN,60,5.0,power-active,1846,1846,4126.265291983484,2167.498595526442,-1593.8096657823771,1.495074124264125,1.1741595858756457,-0.8633855177586008
Hanwha,TCN,42,TCN,61,5.083333333333333,full,4512,4512,4796.210110391266,2967.3265053989526,-1338.648797025562,1.0310139812003951,0.6576521510192714,-0.29668634685850226
Hanwha,TCN,42,TCN,61,5.083333333333333,power-active,1859,1859,4141.944573364595,2185.437406516634,-1598.1049010297284,1.492665333354708,1.1755983897346067,-0.859658365266126
Hanwha,TCN,42,TCN,62,5.166666666666667,full,4512,4512,4797.5301973492315,2950.627849434204,-1303.1314746179341,1.031155857227595,0.6539512077646729,-0.28881459987099606
Hanwha,TCN,42,TCN,62,5.166666666666667,power-active,1872,1872,4149.044473234782,2199.6865826435387,-1586.4746553562582,1.4887477660490431,1.1750462514121467,-0.8474757774338986
Hanwha,TCN,42,TCN,63,5.25,full,4512,4512,4853.351521387868,2978.986432358004,-1370.331640720433,1.0371374784683876,0.660236354689274,-0.3037082537057697
Hanwha,TCN,42,TCN,63,5.25,power-active,1885,1885,4220.428476595049,2235.7256440427154,-1626.565637556836,1.4963135029095394,1.1860613496247827,-0.8628995424704701
Hanwha,TCN,42,TCN,64,5.333333333333333,full,4512,4512,4855.390261234186,2979.712978301941,-1355.6979052353781,1.0373552899628746,0.660397379942806,-0.30046496126670613
Hanwha,TCN,42,TCN,64,5.333333333333333,power-active,1898,1898,4236.769112144528,2252.733567092335,-1614.3911433776375,1.4940643205580042,1.1868986127989118,-0.8505748911367953
Hanwha,TCN,42,TCN,65,5.416666666666667,full,4512,4512,4863.049517069335,2979.3358369806156,-1348.8453006140116,1.0381731684643307,0.6603137936570513,-0.29894621024246715
Hanwha,TCN,42,TCN,65,5.416666666666667,power-active,1911,1911,4261.221005890038,2272.6996829633135,-1619.2721551407594,1.493264312717198,1.18927246622884,-0.8473428336686339
Hanwha,TCN,42,TCN,66,5.5,full,4512,4512,4820.479676924467,2962.602616413751,-1328.407465597389,1.0336192348842106,0.6566051898080122,-0.2944165482263717
Hanwha,TCN,42,TCN,66,5.5,power-active,1924,1924,4230.637355718555,2278.2604807069292,-1597.0446379905334,1.482860736721653,1.1841270689744954,-0.8300647806603604
Hanwha,TCN,42,TCN,67,5.583333333333333,full,4512,4512,4733.449537814791,2939.3869026426464,-1277.5813192143914,1.0242461267008964,0.6514598631743453,-0.28315188812375697
Hanwha,TCN,42,TCN,67,5.583333333333333,power-active,1937,1937,4131.320281183513,2263.799222643487,-1545.8998193172738,1.4604262221090822,1.1687141056497095,-0.798089736353781
Hanwha,TCN,42,TCN,68,5.666666666666667,full,4512,4512,4716.525818316855,2929.304574068454,-1307.3107002132238,1.0224134700330276,0.6492253045364481,-0.2897408466784627
Hanwha,TCN,42,TCN,68,5.666666666666667,power-active,1950,1950,4147.481411403098,2275.1109682726674,-1544.155631411355,1.4583941663039115,1.1667235734731627,-0.7918746827750538
Hanwha,TCN,42,TCN,69,5.75,full,4512,4512,4618.3876165933525,2905.2281576253663,-1234.3875815925203,1.0117207202258647,0.643889219331863,-0.2735788079770657
Hanwha,TCN,42,TCN,69,5.75,power-active,1963,1963,4048.3099169622565,2259.5000045334455,-1499.1158107032534,1.4360736924010005,1.1510443222279396,-0.7636860981677297
Hanwha,TCN,42,TCN,70,5.833333333333333,full,4512,4512,4551.164883690488,2873.5418404412558,-1206.6870880554125,1.0043307027032458,0.6368665426509875,-0.2674395141966783
Hanwha,TCN,42,TCN,70,5.833333333333333,power-active,1976,1976,4007.344259471102,2253.1720349416137,-1467.092621088028,1.4240815385634624,1.1402692484522337,-0.7424557799028482
