site,model,seed,neural_source,origin_month,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
NIST_GROUND,Inverted,43,Inverted,2017-10,976149,6918,1540414617.6116934,24400071.157737285,6362091.596529357,39.7247121304059,24.996256880596388,6.517541478328981
NIST_GROUND,Inverted,43,Inverted,2017-11,1130846,7858,2264197396.1852365,31721454.1093447,13544040.798158886,44.746122804965744,28.051082206900585,11.9769100285617
NIST_GROUND,Inverted,43,Inverted,2017-12,1021681,7109,2238355842.9765587,31673397.36748979,15138555.399297806,46.80657962604312,31.001259069601755,14.817301485784512
NIST_GROUND,Inverted,44,Inverted,2017-10,976149,6918,1638068014.1114721,24981897.550006643,9500040.850986883,40.964523565617256,25.59229948502395,9.73216266265384
NIST_GROUND,Inverted,44,Inverted,2017-11,1130846,7858,2414077918.984925,32355432.06355892,16739406.463688886,46.203397158726276,28.611704921411864,14.802551774237063
NIST_GROUND,Inverted,44,Inverted,2017-12,1021681,7109,2375505565.7416763,32174724.44327387,17643426.16635839,48.21924073650166,31.491947528899793,17.269016617083405
NIST_GROUND,Joint-patch,42,Joint-patch,2017-10,976149,6918,1728982750.3193069,25357495.822738726,10155955.655699585,42.08596341900501,25.977075039505984,10.404103938742534
NIST_GROUND,Joint-patch,42,Joint-patch,2017-11,1130846,7858,2486884571.7792826,32480301.009715423,17799992.52572278,46.8949504084559,28.722125744544723,15.740421353325544
NIST_GROUND,Joint-patch,42,Joint-patch,2017-12,1021681,7109,2618098230.449993,33435580.378012933,20094501.005264595,50.62153499192916,32.72604695400319,19.668077418748705
NIST_GROUND,Joint-patch,43,Joint-patch,2017-10,976149,6918,1633291031.3381982,24639881.428104926,6263757.34984668,40.90474897230277,25.241926619916555,6.4168045552950215
NIST_GROUND,Joint-patch,43,Joint-patch,2017-11,1130846,7858,2378493929.4009953,32015402.639260214,14455588.793189162,45.86160933713066,28.31101904172647,12.782986183078123
NIST_GROUND,Joint-patch,43,Joint-patch,2017-12,1021681,7109,2457743818.3105464,32798821.316530198,16748192.721760537,49.04679662589085,32.10280049891326,16.39278084036068
NIST_GROUND,Joint-patch,44,Joint-patch,2017-10,976149,6918,1726385903.1857314,25486920.5299514,10938848.290098386,42.054346018064166,26.109662080226894,11.206125591583238
NIST_GROUND,Joint-patch,44,Joint-patch,2017-11,1130846,7858,2529943167.7729096,33374870.048494235,20304277.713662438,47.299184128568,29.51318751491736,17.954944982484296
NIST_GROUND,Joint-patch,44,Joint-patch,2017-12,1021681,7109,2735680650.6511703,35423686.93100484,23412555.709388055,51.74579228543011,34.67196407783333,22.915719984406145
YULARA_COMBINED,TCN,42,TCN,2017-10,1275264,8856,469023996.5006425,17534130.42192632,-4585955.371182905,19.177742430840983,13.749412217334074,-3.596083141359675
YULARA_COMBINED,TCN,42,TCN,2017-11,1244160,8640,753003530.8861308,21248384.112622593,-6188043.949821194,24.60143210109283,17.07849803290782,-4.973672156170584
YULARA_COMBINED,TCN,42,TCN,2017-12,1264896,8784,438882841.43083215,17028087.460620657,-5035558.671339713,18.627170568060592,13.462045465098045,-3.981006083772668
YULARA_COMBINED,TCN,43,TCN,2017-10,1275264,8856,365623286.31968886,15110952.736287761,-4689249.17195829,16.932335846745918,11.849274139541116,-3.67708111572058
YULARA_COMBINED,TCN,43,TCN,2017-11,1244160,8640,506609889.33723515,17951546.654758606,-4112219.4833448185,20.17895697435207,14.42864796710922,-3.305217563130802
YULARA_COMBINED,TCN,43,TCN,2017-12,1264896,8784,342229382.1915824,14301212.132344833,-3474513.028393488,16.44868701847747,11.306235557978548,-2.746876445489185
YULARA_COMBINED,TCN,44,TCN,2017-10,1275264,8856,413367985.76980054,15976768.63329672,-7451033.005547613,18.003973679027823,12.52820485271812,-5.842737664944367
YULARA_COMBINED,TCN,44,TCN,2017-11,1244160,8640,415806014.08437675,16568335.45578512,-4765143.012375243,18.281308015022976,13.316884850650334,-3.8300082082491342
YULARA_COMBINED,TCN,44,TCN,2017-12,1264896,8784,364641601.7167108,14872937.120980162,-5727567.3303148225,16.978749392287654,11.758229230687869,-4.5280934798709325
YULARA_COMBINED,Recurrent,42,Recurrent,2017-10,1275264,8856,294101070.3506028,10929708.424188903,-3673785.7414248493,15.186169836477104,8.570545725582235,-2.8808040856049018
YULARA_COMBINED,Recurrent,42,Recurrent,2017-11,1244160,8640,685381950.3806866,15634651.281448863,-6979682.130553294,23.47081737489757,12.566431392625438,-5.609955416146874
YULARA_COMBINED,Recurrent,42,Recurrent,2017-12,1264896,8784,312814966.84983945,11278595.763173455,-3116273.234643004,15.725930514918524,8.916619044706803,-2.4636596484161575
YULARA_COMBINED,Recurrent,43,Recurrent,2017-10,1275264,8856,275812893.57632804,10137558.106450673,-3434921.7129249955,14.70642905712572,7.9493799765779265,-2.6934985327939907
YULARA_COMBINED,Recurrent,43,Recurrent,2017-11,1244160,8640,524927792.4879594,14280471.298602197,-4077118.1541582905,20.540530992602005,11.478002265466015,-3.277004689234737
