site,h,analysis,scope,block_hours,blocks,replicates,valid_replicates,skill,ci_low,ci_high
Sanyo,144,daily_matched,full,72,8,2000,2000,-5.562807959666382,-15.360139860586862,-3.25115387888655
Sanyo,144,daily_matched,power-active,24,24,2000,2000,-4.892680412905444,-14.050554316921824,-3.019173807527721
Sanyo,144,daily_matched,power-active,48,12,2000,2000,-4.892680412905444,-14.30271025686853,-2.5948059036089197
Sanyo,144,daily_matched,power-active,72,8,2000,2000,-4.892680412905444,-13.707312587231188,-2.8117625299191986
Sanyo,144,daily_matched,low-power,24,24,2000,2000,-163.3213067365754,-255.84872943783745,-118.95070619025003
Sanyo,144,daily_matched,low-power,48,12,2000,2000,-163.32130673657528,-292.6828794630344,-107.43513671002495
Sanyo,144,daily_matched,low-power,72,8,2000,2000,-163.32130673657582,-356.5753703931434,-110.38763841208254
NIST_GROUND,12,primary,full,24,92,2000,2000,0.17929036477297933,0.15372327717558995,0.20630564573646004
NIST_GROUND,12,primary,full,48,46,2000,2000,0.17929036477297913,0.1507278081862575,0.20729837967455989
NIST_GROUND,12,primary,full,72,31,2000,2000,0.1792903647729791,0.15155966363539825,0.2061407336792817
NIST_GROUND,12,primary,power-active,24,92,2000,2000,0.20240017376238795,0.17833411193705426,0.22873547060378221
NIST_GROUND,12,primary,power-active,48,46,2000,2000,0.20240017376238809,0.1769685008074226,0.22917445485599525
NIST_GROUND,12,primary,power-active,72,31,2000,2000,0.20240017376238795,0.17882496650011276,0.22693134497525438
NIST_GROUND,12,primary,low-power,24,92,2000,2000,-0.3855550004412282,-0.52925959136622,-0.26821502391848445
NIST_GROUND,12,primary,low-power,48,46,2000,2000,-0.3855550004412281,-0.5448914770124639,-0.252196755854717
NIST_GROUND,12,primary,low-power,72,31,2000,2000,-0.3855550004412284,-0.5673843720520511,-0.23422965430840878
NIST_GROUND,12,daily_matched,full,24,92,2000,2000,0.577291674845,0.5265403837382668,0.6205489271373605
NIST_GROUND,12,daily_matched,full,48,46,2000,2000,0.577291674845,0.5282617871059427,0.623466745158245
NIST_GROUND,12,daily_matched,full,72,31,2000,2000,0.577291674845,0.5277909777140573,0.6177929733759787
NIST_GROUND,12,daily_matched,power-active,24,92,2000,2000,0.5901010844162825,0.5401992093723267,0.6342501627856522
NIST_GROUND,12,daily_matched,power-active,48,46,2000,2000,0.5901010844162824,0.5398506231466224,0.6374865127510476
NIST_GROUND,12,daily_matched,power-active,72,31,2000,2000,0.5901010844162825,0.5435868028831096,0.6296851286302686
NIST_GROUND,12,daily_matched,low-power,24,92,2000,2000,0.22013795081606455,-0.3868538032760417,0.44738333248913487
NIST_GROUND,12,daily_matched,low-power,48,46,2000,2000,0.22013795081606455,-0.3401830700825918,0.43250764705079614
NIST_GROUND,12,daily_matched,low-power,72,31,2000,2000,0.22013795081606477,-0.4070892129397381,0.4534696576651891
NIST_GROUND,48,primary,full,24,92,2000,2000,0.4115764507167388,0.3817719961533025,0.438929665872242
NIST_GROUND,48,primary,full,48,46,2000,2000,0.4115764507167388,0.3788577558547768,0.43811198308793087
NIST_GROUND,48,primary,full,72,31,2000,2000,0.411576450716739,0.3796660315140576,0.4404192176745949
NIST_GROUND,48,primary,power-active,24,92,2000,2000,0.3797861099572428,0.34809912923509345,0.40779637399066504
NIST_GROUND,48,primary,power-active,48,46,2000,2000,0.3797861099572429,0.3462105076720492,0.4071621548033041
NIST_GROUND,48,primary,power-active,72,31,2000,2000,0.3797861099572428,0.3484603728557427,0.4085524615800254
NIST_GROUND,48,primary,low-power,24,92,2000,2000,0.5432806512782505,0.5006756485602913,0.5799547700659734
NIST_GROUND,48,primary,low-power,48,46,2000,2000,0.5432806512782503,0.496787235655516,0.5798072709379729
NIST_GROUND,48,primary,low-power,72,31,2000,2000,0.5432806512782505,0.48789830537283674,0.5888303196033248
NIST_GROUND,48,daily_matched,full,24,92,2000,2000,0.3208658161095672,0.24590254342820678,0.38140299644163866
NIST_GROUND,48,daily_matched,full,48,46,2000,2000,0.32086581610956716,0.24549040598828212,0.3850430610180857
NIST_GROUND,48,daily_matched,full,72,31,2000,2000,0.32086581610956716,0.2344442930207321,0.38813136863639436
NIST_GROUND,48,daily_matched,power-active,24,92,2000,2000,0.3606559524711077,0.28841439765789767,0.4192298893198831
NIST_GROUND,48,daily_matched,power-active,48,46,2000,2000,0.3606559524711077,0.2880531325371248,0.42317192104634105
NIST_GROUND,48,daily_matched,power-active,72,31,2000,2000,0.3606559524711077,0.2809039109284629,0.4242913290058024
