site,scope,block_hours,blocks,nonempty_blocks,points,reference,rmse_B,rmse_reference,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,replicates,valid_replicates
Sanyo,low-power,24,24,24,338972,Inverted43,0.10449231713925285,0.4724292998164477,-0.3679369826771949,-0.42951130298662604,-0.3192219216202637,0.7788191435631722,0.7522378611019108,0.8049165078441126,2000,2000
Sanyo,low-power,24,24,24,338972,Inverted44,0.10449231713925285,0.4405745633889448,-0.33608224624969196,-0.3977488607169413,-0.2819928251937879,0.7628271674708426,0.7291563105698167,0.7935165049831401,2000,2000
Sanyo,low-power,24,24,24,338972,Inverted mean,0.10449231713925285,0.4532773542019315,-0.34878503706267866,-0.4088869556683106,-0.29746395593197167,0.7692642861518126,0.7388233855643905,0.7979838741644361,2000,2000
Sanyo,low-power,48,12,12,338972,Ridge A,0.10449231713925285,0.5278402561661435,-0.42334793902689066,-0.4738181488519887,-0.3635488814996482,0.8020379917624874,0.78119869047829,0.8183732096666658,2000,2000
Sanyo,low-power,48,12,12,338972,Daily,0.10449231713925285,0.0027584819230325607,0.10173383521622029,0.09364507252968793,0.10838271906447912,-36.88037045549254,-67.82350955239646,-24.162536706282133,2000,2000
Sanyo,low-power,48,12,12,338972,Inverted42,0.10449231713925285,0.44682819940040186,-0.342335882261149,-0.41330055650489533,-0.27803581778091685,0.766146547421423,0.72926002429938,0.7997564144800924,2000,2000
Sanyo,low-power,48,12,12,338972,Inverted43,0.10449231713925285,0.4724292998164477,-0.3679369826771949,-0.4398193630548135,-0.3050362907970967,0.7788191435631722,0.7463427135673761,0.8094585186334555,2000,2000
Sanyo,low-power,48,12,12,338972,Inverted44,0.10449231713925285,0.4405745633889448,-0.33608224624969196,-0.4099682542011043,-0.2654048274104722,0.7628271674708426,0.7199403504768994,0.7980947867999016,2000,2000
Sanyo,low-power,48,12,12,338972,Inverted mean,0.10449231713925285,0.4532773542019315,-0.34878503706267866,-0.4203984831479703,-0.28350872526247134,0.7692642861518126,0.7318885056135519,0.8021467973029602,2000,2000
Sanyo,low-power,72,8,8,338972,Ridge A,0.10449231713925285,0.5278402561661437,-0.4233479390268909,-0.47850233905421874,-0.35809112333415494,0.8020379917624875,0.7779087566652817,0.8205802556227874,2000,2000
Sanyo,low-power,72,8,8,338972,Daily,0.10449231713925285,0.002758481923032551,0.1017338352162203,0.09401777801914457,0.10899323244875879,-36.88037045549267,-78.96370646164351,-24.085435947918448,2000,2000
Sanyo,low-power,72,8,8,338972,Inverted42,0.10449231713925285,0.44682819940040186,-0.342335882261149,-0.41291197015915765,-0.29045057043149847,0.766146547421423,0.7355993031903881,0.79852425090349,2000,2000
Sanyo,low-power,72,8,8,338972,Inverted43,0.10449231713925285,0.47242929981644766,-0.3679369826771948,-0.44988523332962616,-0.313492412473688,0.7788191435631721,0.749938175244095,0.8140335199600888,2000,2000
Sanyo,low-power,72,8,8,338972,Inverted44,0.10449231713925285,0.4405745633889447,-0.33608224624969185,-0.41613816312251584,-0.27669832292222646,0.7628271674708426,0.72568925930705,0.8003085393456364,2000,2000
Sanyo,low-power,72,8,8,338972,Inverted mean,0.10449231713925285,0.45327735420193144,-0.3487850370626786,-0.42455032731524206,-0.2938804304676768,0.7692642861518125,0.7377147783584158,0.8047403705317888,2000,2000
Hanwha,full,24,24,24,649735,Ridge A,0.24802421699770977,0.844085434509359,-0.5960612175116493,-0.6436630897333538,-0.5574510531693952,0.7061621882601509,0.6625680796761308,0.7622548617284216,2000,2000
Hanwha,full,24,24,24,649735,Daily,0.24802421699770977,0.2030694361600664,0.04495478083764337,0.0012019783986755364,0.13881387490714026,-0.2213764005441392,-2.4369288779950478,-0.004032689593221152,2000,2000
Hanwha,full,24,24,24,649735,Inverted42,0.24802421699770977,0.7859824407641663,-0.5379582237664566,-0.6156443416481626,-0.4723028975524421,0.6844405114743151,0.6322142862788103,0.7493865934450652,2000,2000
Hanwha,full,24,24,24,649735,Inverted43,0.24802421699770977,0.8031924525960606,-0.5551682355983509,-0.6198332950587396,-0.5045265415366291,0.6912020074441045,0.6374285042224649,0.7558664207807549,2000,2000
Hanwha,full,24,24,24,649735,Inverted44,0.24802421699770977,0.8271519687282118,-0.579127751730502,-0.6526332914763328,-0.521898661356291,0.7001467367851888,0.649616693543353,0.761296488537331,2000,2000
Hanwha,full,24,24,24,649735,Inverted mean,0.24802421699770977,0.8054422873628129,-0.557418070365103,-0.6277462414059594,-0.5017529347976043,0.6919297519012028,0.6399886361554231,0.7549901214915906,2000,2000
Hanwha,full,48,12,12,649735,Ridge A,0.2480242169977098,0.844085434509359,-0.5960612175116492,-0.6464346578515404,-0.5570215335587851,0.7061621882601509,0.6503125500356737,0.7695634218002507,2000,2000
Hanwha,full,48,12,12,649735,Daily,0.2480242169977098,0.2030694361600665,0.04495478083764329,-0.010056044215520882,0.14957464047956512,-0.22137640054413876,-2.6510612721505695,0.03034423975506788,2000,2000
Hanwha,full,48,12,12,649735,Inverted42,0.2480242169977098,0.7859824407641665,-0.5379582237664566,-0.633871648740536,-0.45540296495175797,0.6844405114743151,0.6145894866814005,0.7547671291034085,2000,2000
Hanwha,full,48,12,12,649735,Inverted43,0.2480242169977098,0.8031924525960604,-0.5551682355983506,-0.6337799199352417,-0.49269715941881154,0.6912020074441044,0.6192702087753132,0.7611670990049502,2000,2000
Hanwha,full,48,12,12,649735,Inverted44,0.2480242169977098,0.8271519687282118,-0.579127751730502,-0.66460509654663,-0.5061325420352033,0.7001467367851888,0.6336411856917277,0.7657077076513549,2000,2000
Hanwha,full,48,12,12,649735,Inverted mean,0.2480242169977098,0.8054422873628129,-0.557418070365103,-0.6441710474552802,-0.48711427922035705,0.6919297519012026,0.6224371205115538,0.7609031988177208,2000,2000
Hanwha,full,72,8,8,649735,Ridge A,0.24802421699770977,0.8440854345093591,-0.5960612175116493,-0.6516115044672222,-0.5523925888309951,0.706162188260151,0.6471281649553317,0.7728944694860682,2000,2000
