section,task,scope,horizon,model,seed,n,positive_count,prevalence,auroc,auprc,brier,spearman_abs_change,f1_at_0_5,precision_at_0_5,recall_at_0_5,ece_10bin
simple_baseline,ramp_step,full_timeline,10,TIME_OF_DAY_LOGISTIC,,17401,3037,0.1745301994138268,0.8564300298178953,0.42828369739543587,0.15663371531916012,0.8232093205353141,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,11,TIME_OF_DAY_LOGISTIC,,17401,3036,0.1744727314522154,0.8565891630174534,0.42845628834034155,0.15655829731684234,0.8232585857572609,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,12,TIME_OF_DAY_LOGISTIC,,17401,3035,0.174415263490604,0.8567446338726274,0.42861841216112834,0.1564776330188786,0.8233253990524964,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,all12,LAST_CHANGE,,208812,11158,0.05343562630500163,0.7779461807199199,0.12065489090979589,nan,0.8781518233306701,nan,nan,nan,nan
simple_baseline,ramp_onset,daylight,all12,LAST_CHANGE,,107560,11158,0.10373744886574934,0.5654125291772858,0.12304317796072461,nan,0.46663715523820887,nan,nan,nan,nan
simple_baseline,ramp_onset,sunrise_sunset_transition,all12,LAST_CHANGE,,69636,4306,0.06183583204089839,0.6680522459521487,0.10727339211315165,nan,0.68305015379736,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,1,LAST_CHANGE,,17401,930,0.05344520429860353,0.6821740785205408,0.0737923216912578,nan,0.9347245909057463,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,2,LAST_CHANGE,,17401,930,0.05344520429860353,0.7919789620466862,0.1263179657639139,nan,0.9178389479855741,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,3,LAST_CHANGE,,17401,930,0.05344520429860353,0.7986299478457738,0.13184336460422377,nan,0.9089589596492088,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,4,LAST_CHANGE,,17401,930,0.05344520429860353,0.8012215343617946,0.13416403559216908,nan,0.9028465782573984,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,5,LAST_CHANGE,,17401,930,0.05344520429860353,0.7900205509455197,0.13036787798332666,nan,0.8933727278245105,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,6,LAST_CHANGE,,17401,930,0.05344520429860353,0.8002296639972633,0.13595342609179895,nan,0.8859304394978236,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,7,LAST_CHANGE,,17401,930,0.05344520429860353,0.7937180237928767,0.13409776473087176,nan,0.8761202148388542,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,8,LAST_CHANGE,,17401,930,0.05344520429860353,0.7857497014955579,0.12848897060734182,nan,0.8662925544575023,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,9,LAST_CHANGE,,17401,930,0.05344520429860353,0.7773458466917744,0.12747699038389157,nan,0.8553804526911958,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,10,LAST_CHANGE,,17401,930,0.05344520429860353,0.7773031845478824,0.12803753264977052,nan,0.8447223394602309,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,11,LAST_CHANGE,,17401,929,0.05338773633699213,0.7701880896753521,0.12294329654928476,nan,0.832573035643394,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,12,LAST_CHANGE,,17401,929,0.05338773633699213,0.7667754093321296,0.12237160333355993,nan,0.8190290127956293,nan,nan,nan,nan
simple_baseline,ramp_onset,full_timeline,all12,RECENT_MAX_6,,208812,11158,0.05343562630500163,0.8126353140440975,0.13605229286689807,nan,0.8803473177640567,nan,nan,nan,nan
simple_baseline,ramp_onset,daylight,all12,RECENT_MAX_6,,107560,11158,0.10373744886574934,0.6323941793353465,0.13818204566881562,nan,0.5280591803623591,nan,nan,nan,nan
