site,category,key,value
NIST_GROUND,file,03/onemin-Ground-2017-03-16.csv,"{""file"": ""03/onemin-Ground-2017-03-16.csv"", ""size"": 865113, ""mtime_ns"": 1489593600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-17.csv,"{""file"": ""03/onemin-Ground-2017-03-17.csv"", ""size"": 856059, ""mtime_ns"": 1489680000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-18.csv,"{""file"": ""03/onemin-Ground-2017-03-18.csv"", ""size"": 849395, ""mtime_ns"": 1489766400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-19.csv,"{""file"": ""03/onemin-Ground-2017-03-19.csv"", ""size"": 852051, ""mtime_ns"": 1489852800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-20.csv,"{""file"": ""03/onemin-Ground-2017-03-20.csv"", ""size"": 853152, ""mtime_ns"": 1489939200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-21.csv,"{""file"": ""03/onemin-Ground-2017-03-21.csv"", ""size"": 853444, ""mtime_ns"": 1490025600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-22.csv,"{""file"": ""03/onemin-Ground-2017-03-22.csv"", ""size"": 852577, ""mtime_ns"": 1490112000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-23.csv,"{""file"": ""03/onemin-Ground-2017-03-23.csv"", ""size"": 863639, ""mtime_ns"": 1490198400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-24.csv,"{""file"": ""03/onemin-Ground-2017-03-24.csv"", ""size"": 860095, ""mtime_ns"": 1490284800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-25.csv,"{""file"": ""03/onemin-Ground-2017-03-25.csv"", ""size"": 857920, ""mtime_ns"": 1490371200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-26.csv,"{""file"": ""03/onemin-Ground-2017-03-26.csv"", ""size"": 846046, ""mtime_ns"": 1490457600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
