site,model,seed,horizon,scope,analysis,forecast_origin_count,valid_target_count,RMSE,MAE,bias,R2,nRMSE,last_value_skill,daily_skill,parameter_count,best_epoch,best_validation_mse,training_seconds
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,12,daylight,primary,14784,164664,16.758858288465053,11.206422035142435,0.23934484635772088,0.7272200953018655,0.1524184567021207,0.02632533631420786,,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,12,daylight,supplementary_daily_matched,14784,164664,16.758858288465053,11.206422035142435,0.23934484635772088,0.7272200953018655,0.1524184567021207,0.02632533631420786,0.24855354258546147,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,48,full,primary,26376,1266048,14.540337239368831,9.163865789343783,0.4040438215789936,0.8204199484037739,0.13224145247879862,0.44788446560409034,,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,48,full,supplementary_daily_matched,26376,1266048,14.540337239368831,9.163865789343783,0.4040438215789936,0.8204199484037739,0.13224145247879862,0.44788446560409034,0.09987239244087931,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,48,daylight,primary,18063,658095,18.889535623323553,13.259343099889248,-2.5856538864924943,0.6533679747293847,0.17179653995334349,0.44995175815623256,,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,48,daylight,supplementary_daily_matched,18063,658095,18.889535623323553,13.259343099889248,-2.5856538864924943,0.6533679747293847,0.17179653995334349,0.44995175815623256,0.15312290223735825,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,96,full,primary,26328,2527488,16.469055575040553,10.4702412029633,-0.47084093291881235,0.7698207418159959,0.14978275911652494,0.5942448104210973,,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,96,full,supplementary_daily_matched,26328,2527488,16.469055575040553,10.4702412029633,-0.47084093291881235,0.7698207418159959,0.14978275911652494,0.5942448104210973,-0.020587795414386267,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,96,daylight,primary,22393,1313250,21.263251883566976,15.845769762953026,-4.147802189851723,0.5610624347966369,0.19338501351207354,0.5539106939717389,,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,96,daylight,supplementary_daily_matched,22393,1313250,21.263251883566976,15.845769762953026,-4.147802189851723,0.5610624347966369,0.19338501351207354,0.5539106939717389,0.04589026528810336,140432.0,12.0,0.027561055259709335,138.18017970000074
