block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
80,3456.0,77207.3634745025,1670142.3917187392,264381.1726995451,55308.079840584745,63665.54666290746,58119.3760992997,443278.0239288467,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
81,3456.0,20971.768781245064,1729956.2545227879,190650.9085378684,21013.389616113112,26243.448857201092,32787.243436638964,66816.08606287705,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
82,3456.0,142988.894085562,1813743.5823843789,295363.24825656146,143006.17631413758,154911.490934074,154152.05382630893,118297.6988806228,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
83,3456.0,22698.987248262918,1745260.915578685,156901.84378977958,22072.358616637568,23984.395251587863,23468.13197934781,121969.76936426747,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
84,3456.0,13999.349859215303,1775713.4348674691,174102.43379275993,14741.309502429562,14629.103186849838,17431.01485241561,8571.633962425973,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
85,3456.0,13765.210616503997,1741287.1638890817,165895.8921369451,14097.265708827912,16282.874674696888,16891.119591676008,1080.3741465672229,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
86,3456.0,15516.340801609691,1814756.8768424287,185441.3764915166,15475.932895004647,14891.75363306425,14598.793380680501,1967.1008141971995,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
87,3456.0,18367.031733783726,1691181.6883074364,154671.52266914884,16289.808976222572,25166.27026733991,22698.350429499453,19989.920673055858,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
88,3456.0,17898.180906968337,1653857.5433853113,164060.0058860273,32494.17690409597,54768.67634417074,77704.79897799304,16841.933151714722,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
89,3456.0,15698.929232906985,1631429.8837354977,148067.8422731068,41000.87576266733,77870.93488002603,97612.60705467066,1572.8379993118615,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
90,3456.0,14784.165104275018,1776626.5909287804,181595.05620992638,16238.982629930628,17008.865608913053,14926.423760402995,2992.2260432984326,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
0,6912.0,45490.52312379767,4775752.587731836,419041.40162042936,83926.47156401181,59678.00996935843,58476.86113213471,377945.3243088308,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
