site,horizon,scope,method,RMSE,MAE,bias,points,origins
NIST_GROUND,48,power-active,Original B,45.07732001762229,32.2069965816338,-2.768993466251455,585563,16675
NIST_GROUND,48,power-active,Expanded A,50.2993147990035,36.185989091112496,-11.619429561606257,585563,16675
NIST_GROUND,48,power-active,Expanded B,45.07732001762229,32.2069965816338,-2.768993466251455,585563,16675
NIST_GROUND,48,power-active,Daily,71.90037622938097,49.39488345062786,-0.7226341438922876,585563,16675
NIST_GROUND,48,power-active,Last-value,68.68452026386734,50.6183234852612,-7.588874291920766,585563,16675
NIST_GROUND,96,full,Inverted mean,36.578228955370655,22.06052163030627,-2.9710829934594707,2335738,25333
NIST_GROUND,96,full,Original A,49.49571412496751,35.95472252824874,-1.4226171693034266,2335738,25333
NIST_GROUND,96,full,Original B,38.91529669673128,24.55061777068548,0.191857107020796,2335738,25333
NIST_GROUND,96,full,Expanded A,49.49571495614311,35.95473368543715,-1.4226492632095422,2335738,25333
NIST_GROUND,96,full,Expanded B,38.91529669673128,24.55061777068548,0.191857107020796,2335738,25333
NIST_GROUND,96,full,Daily,51.121220241306574,25.286643605147507,0.171435100769008,2335738,25333
NIST_GROUND,96,full,Last-value,77.49015855326681,47.759715626238886,-0.1792125684473172,2335738,25333
NIST_GROUND,96,low-power,Inverted mean,16.674494157213754,7.813727164912109,2.6568781964328365,1165677,21151
NIST_GROUND,96,low-power,Original A,33.55865052898435,25.97924364774316,15.275312727426863,1165677,21151
NIST_GROUND,96,low-power,Original B,15.891396269309173,11.02459353911592,5.288336128446622,1165677,21151
NIST_GROUND,96,low-power,Expanded A,33.55866537984757,25.979247405713203,15.275252804587456,1165677,21151
NIST_GROUND,96,low-power,Expanded B,15.891396269309173,11.02459353911592,5.288336128446622,1165677,21151
NIST_GROUND,96,low-power,Daily,7.685706972725904,1.1816553208135705,1.122601960062693,1165677,21151
NIST_GROUND,96,low-power,Last-value,58.63759112028725,25.642320569763317,25.537629983949245,1165677,21151
NIST_GROUND,96,power-active,Inverted mean,48.92265074651567,36.25393601813499,-8.577957264074502,1170061,20758
NIST_GROUND,96,power-active,Original A,61.38818262699914,45.89282515280512,-18.05798304187834,1170061,20758
NIST_GROUND,96,power-active,Original B,52.64538147361338,38.02596251611609,-4.885526359532309,1170061,20758
NIST_GROUND,96,power-active,Expanded A,61.38817587679717,45.89284368148836,-18.05798741112098,1170061,20758
NIST_GROUND,96,power-active,Expanded B,52.64538147361338,38.02596251611609,-4.885526359532309,1170061,20758
NIST_GROUND,96,power-active,Daily,71.82003694874204,49.30131500118369,-0.776167913980552,1170061,20758
NIST_GROUND,96,power-active,Last-value,92.52819348918742,69.79424093495982,-25.79969891569757,1170061,20758
NIST_GROUND,144,full,Inverted mean,38.186146235578725,23.120159022878294,-2.1583335432149826,3502466,25333
NIST_GROUND,144,full,Original A,51.89607708263479,38.79034869214223,-1.2097031301992185,3502466,25333
NIST_GROUND,144,full,Original B,40.77701210356224,25.92662927194929,0.0166795669849731,3502466,25333
NIST_GROUND,144,full,Expanded A,51.89610011932771,38.7903762085724,-1.2097131747623484,3502466,25333
NIST_GROUND,144,full,Expanded B,40.77701210356224,25.92662927194929,0.0166795669849731,3502466,25333
NIST_GROUND,144,full,Daily,51.02786217183925,25.20457029350177,0.118901397586729,3502466,25333
NIST_GROUND,144,full,Last-value,91.38844238720498,61.0113320328592,-0.2604974899970476,3502466,25333
NIST_GROUND,144,low-power,Inverted mean,17.865691105456012,7.882819543686703,2.831463059036428,1749335,24804
NIST_GROUND,144,low-power,Original A,36.5590173134617,28.796945383344337,15.58876598852638,1749335,24804
NIST_GROUND,144,low-power,Original B,16.09578982933125,11.58523005143734,5.636603682542783,1749335,24804
NIST_GROUND,144,low-power,Expanded A,36.55910894406324,28.796996129322817,15.588720212710047,1749335,24804
NIST_GROUND,144,low-power,Expanded B,16.09578982933125,11.58523005143734,5.636603682542783,1749335,24804
NIST_GROUND,144,low-power,Daily,7.670376711627942,1.1831114921956063,1.1241106051156582,1749335,24804
NIST_GROUND,144,low-power,Last-value,80.11550790860431,44.24387874832436,44.14578629673563,1749335,24804
NIST_GROUND,144,power-active,Inverted mean,50.93676390151244,38.32450556505436,-7.137325894157086,1753131,24251
NIST_GROUND,144,power-active,Original A,63.61529999548619,48.76211359573245,-17.971799046480346,1753131,24251
NIST_GROUND,144,power-active,Original B,55.34813108954784,40.2369755070078,-5.591075901767399,1753131,24251
NIST_GROUND,144,power-active,Expanded A,63.6152849953894,48.76211793291248,-17.971773437158042,1753131,24251
NIST_GROUND,144,power-active,Expanded B,55.34813108954784,40.2369755070078,-5.591075901767399,1753131,24251
NIST_GROUND,144,power-active,Daily,71.71708394830038,49.17401617757031,-0.8841312617254502,1753131,24251
NIST_GROUND,144,power-active,Last-value,101.39533503974369,77.74247927257005,-44.5706297322904,1753131,24251
