site,period,support,scope,horizon,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,24,Original B,Daily,11.879917475611617,14.44956742387746,-2.569649948265843,-3.0863150563751613,-2.0393243008972854,0.17783576994973405,0.15434329205088396,0.20394694560025078,91,91,1646503,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,24,Expanded B,Daily,14.529162334588172,14.44956742387746,0.07959491071071234,-1.0188293301824853,1.257007942067156,-0.00550846322078713,-0.10207734758406019,0.060862926843235285,91,91,1646503,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,24,Expanded B,Inverted mean,14.529162334588172,18.256398770694812,-3.7272364361066415,-4.6823023538830295,-2.5449528972494733,0.20367852004398568,0.1411362766603314,0.2516067650265957,91,91,1646503,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,48,Inverted mean,Daily,18.256398770694812,14.449567423877461,3.806831346817353,1.803221868968557,5.801696878018679,-0.26345642296022526,-0.49403380524792295,-0.10541190670342422,46,46,1646503,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,48,Original B,Daily,11.879917475611615,14.449567423877461,-2.5696499482658464,-3.135657856254805,-1.9647211705055787,0.17783576994973427,0.1540467883829138,0.20594800485327214,46,46,1646503,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,48,Expanded B,Daily,14.529162334588172,14.449567423877461,0.07959491071071056,-1.1803677399175292,1.5303082947257058,-0.005508463220786908,-0.13284793243359422,0.06925263656739501,46,46,1646503,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,48,Expanded B,Inverted mean,14.529162334588172,18.256398770694812,-3.7272364361066423,-4.7884886768416,-2.546065244543601,0.2036785200439857,0.14112357030479583,0.25735269603066036,46,46,1646503,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,72,Inverted mean,Daily,18.256398770694815,14.449567423877458,3.8068313468173565,1.7890799038260963,5.857331762113783,-0.2634564229602256,-0.504538927163389,-0.10302750732818453,31,31,1646503,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,72,Original B,Daily,11.879917475611617,14.449567423877458,-2.569649948265841,-3.139419579405683,-1.9589379664407351,0.17783576994973394,0.15488781402707316,0.20452796779070415,31,31,1646503,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,72,Expanded B,Daily,14.529162334588174,14.449567423877458,0.0795949107107159,-1.2662234936218044,1.6477157679528638,-0.005508463220787352,-0.14414869496983854,0.07275142143715208,31,31,1646503,2000,2000,0,2000
