block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
10,6912.0,1148140.1786431745,1937011.0784090285,1148140.1786431745,1353465.2760646157,1256787.5085641476,1383639.963726294,4103874.6618158384,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
11,6876.0,2248841.1734275557,2497861.8955089175,2248841.1734275557,2414809.7238781573,2157980.8078383687,2154263.433227771,14160814.263777284,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
12,6864.0,2727445.0713631995,2441519.5223919298,2727445.0713631995,2933773.4446173185,2681788.7978661247,2727108.146201926,30768302.228258315,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
13,6888.0,5427526.141768124,5140079.777615932,5427526.141768124,5737342.895881158,5325945.919758987,5198682.083418726,38699548.24422962,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
14,6912.0,4684306.256452298,4922305.078043768,4684306.256452298,5199947.908286766,5248478.906282828,5466354.183941482,21479123.280276485,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
15,6888.0,367052.87730752194,951681.9715933149,367052.87730752194,527408.3255329704,746751.6757765854,782525.1998325883,445563.16429136007,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
16,6831.0,1835216.5439991092,2233743.784798116,1835216.5439991092,2043662.9802628346,2365906.46389927,2697318.314132396,4550956.97488112,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
17,6852.0,4752345.753319569,5163974.947634715,4752345.753319569,4449938.994601946,4387780.682230393,4357124.908205336,16001139.519225923,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
18,6852.0,5161473.936044296,5786084.077003327,5161473.936044296,4303781.803684882,4329307.395862542,4347933.267527304,17203445.24142393,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
19,5518.0,9056739.219230648,9642912.27169712,9056739.219230648,7345559.192884451,7271377.180518728,6878825.645272305,13509006.682650315,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
20,6531.0,2594902.872373186,3075429.1103211315,2594902.872373186,2503482.7278529387,2542322.7492036284,2670455.447686404,12832661.305259986,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
21,6888.0,3102712.8132416876,2502696.087290971,3102712.8132416876,2775437.9625739665,2550385.1065129237,2507908.5454207384,39078699.58085083,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
22,6888.0,2054409.0314230307,1999412.1911254763,2054409.0314230307,1880504.8513532819,2046530.8328221794,1956428.151052411,22532323.253732953,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
23,6853.0,644321.4045821328,783150.000818422,644321.4045821328,1059027.4057464984,1015192.4813528244,949974.0510457788,1410700.3154140809,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
24,6864.0,855774.8089788647,1636304.134714761,855774.8089788647,2051970.0996665421,2011431.9339066332,1998699.934594651,2717636.1642014384,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
25,6912.0,2106455.3768304135,3310727.8953555743,2106455.3768304135,4047945.13189902,4202051.353294934,3985129.7109473604,5387346.615232801,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
26,6888.0,4313320.109985867,4467867.902644247,4313320.109985867,4667853.24682326,4757688.03108632,4598693.787809686,21528033.283414397,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
27,6900.0,2323119.149359853,3054097.416055299,2323119.149359853,2130878.168993448,2126941.076736146,2225901.5750148008,5464637.9234136,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
28,6912.0,4068555.6488942993,4552937.507435159,4068555.6488942993,3782236.690208033,3699450.7247861247,3670977.7415165906,16222929.6192312,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
29,6864.0,2746294.029502244,2940471.260556999,2746294.029502244,3054240.6053877748,2882918.109187224,2973098.948360194,10602730.781869601,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
30,6864.0,4311679.969041476,4700333.763086918,4311679.969041476,4434961.241861198,4400702.197110331,4444957.796708679,16145863.765079848,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
31,6912.0,2932111.0363661954,3173913.5272410335,2932111.0363661954,3061124.184663392,2820226.0945576075,3032387.980557113,17951154.053379852,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
32,6912.0,8819471.913173491,9153774.221841024,8819471.913173491,7495330.10771266,7633173.832785565,7497611.3351149,29282370.312469915,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
33,6888.0,7068403.6188251935,7909928.336504762,7068403.6188251935,6552067.049899331,6730331.875556127,6544624.336679838,12639431.50553487,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
