block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
0,21791.0,8154.44718015255,276.99625355596066,8154.44718015255,276.99625355596066,0.010729945408119643,296614.28640170314,1832.2680079847364,1830.0393315410145,1587.8104713832845,1471.297558929963,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
2,10810.0,3405.4614163279493,249.04493859499877,3405.4614163279493,249.04493859499877,0.006281041921850361,157290.61087796898,683.104326094948,645.2873624645139,637.6975520718178,639.674420354684,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
3,21746.0,10299.497053373878,301.59590869159223,10299.497053373878,301.59590869159223,0.008564461490487561,298732.7084944458,2521.1727838745737,2314.9390837350343,1890.6625253821207,1881.9354397214554,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
4,22158.0,13407.062528356788,289.3426815099877,13407.062528356788,289.3426815099877,0.025685506261629673,294466.0743645209,5496.569867159497,4122.9145531885515,3266.4094468093426,2649.141874482397,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
5,11067.0,4237.721119130325,149.27383095168034,4237.721119130325,149.27383095168034,0.0013014101092208535,151724.78496532375,3255.1536379892564,2114.9495926306527,1601.2593829930895,1462.1327663837042,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
6,22261.0,6772.97302428047,556.6719052401401,6772.97302428047,556.6719052401401,0.17903923305565256,329790.1298500638,2599.311219023674,1492.5864211364114,1609.0234435328564,1322.0112446165158,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
7,11067.0,6348.538001585708,307.8721620405125,6348.538001585708,307.8721620405125,0.03765481723975927,156009.2807612014,5373.1417528631055,1171.2661213434094,1024.3255562027591,670.5549824311813,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
8,11056.0,4376.200500324184,222.49842931456988,4376.200500324184,222.49842931456988,0.061136529282156356,160555.77876078457,1836.035259429353,1727.5807618223732,1209.1125544513059,1108.6856713080276,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
9,21548.0,7353.54823419006,514.3425240740825,7353.54823419006,514.3425240740825,0.024080898538040955,306681.86302936426,1604.4041298325892,1473.6837628600229,1358.5028063746504,1362.0951320447577,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
10,21677.0,13141.774787003491,378.0592124138092,13141.774787003491,378.0592124138092,0.015408128066556163,298802.17396507127,5044.1609418153785,4777.4191853157145,3371.7190024485267,2641.6014870922268,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
11,20795.0,21131.23464209832,1813.6905457486541,21131.23464209832,1813.6905457486541,0.34628779549799016,251789.14402002393,13474.970066357246,6092.437848143188,4414.562477948167,4005.7732423146826,Sanyo,Alice2018Test,S1_new_origins,144,low-power,48
0,21791.0,8154.44718015255,276.99625355596066,8154.44718015255,276.99625355596066,0.010729945408119643,296614.28640170314,1832.2680079847364,1830.0393315410145,1587.8104713832845,1471.297558929963,Sanyo,Alice2018Test,S1_new_origins,144,low-power,72
1,10810.0,3405.4614163279493,249.04493859499877,3405.4614163279493,249.04493859499877,0.006281041921850361,157290.61087796898,683.104326094948,645.2873624645139,637.6975520718178,639.674420354684,Sanyo,Alice2018Test,S1_new_origins,144,low-power,72
2,32825.0,17023.175204044233,482.736909934388,17023.175204044233,482.736909934388,0.016004860923508304,443807.20172778104,4498.476596673689,3558.45015722297,2907.636940118961,2673.956945507444,Sanyo,Alice2018Test,S1_new_origins,144,low-power,72
3,22146.0,10921.10549681676,257.475511218872,10921.10549681676,257.475511218872,0.019546516937829644,301116.3660965096,6774.419692349631,4994.353072331269,3850.694415065597,3319.253135080113,Sanyo,Alice2018Test,S1_new_origins,144,low-power,72
