site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Sanyo,Alice2018Test,S2,12,full,Depthwise convolutional TCN42,diagnostic,0.2340524825351657,0.17361726129193963,-0.06712153616887209,4461.438740595544,81442
Sanyo,Alice2018Test,S2,12,full,Depthwise convolutional TCN43,diagnostic,0.1753356995236726,0.11466431212973253,0.03884940647557292,2503.7394422510392,81442
Sanyo,Alice2018Test,S2,12,full,Depthwise convolutional TCN44,diagnostic,0.25578223924800064,0.20105795532079263,0.16607477513052352,5328.306519922744,81442
Sanyo,Alice2018Test,S2,12,full,Discrete recurrent decoder42,diagnostic,0.20472254797051553,0.13403584805090343,-0.013487073442979301,3413.341857618955,81442
Sanyo,Alice2018Test,S2,12,full,Discrete recurrent decoder43,diagnostic,0.20943720241212127,0.11990091972347118,0.026040230132055055,3572.367144346848,81442
Sanyo,Alice2018Test,S2,12,full,Discrete recurrent decoder44,diagnostic,0.20104313052622239,0.12081820441310509,-0.01664276363229754,3291.750473301127,81442
Sanyo,Alice2018Test,S2,12,full,Inverted42,accepted,0.2687034996097251,0.20881214844378687,0.06656886875802907,5880.240321154109,81442
Sanyo,Alice2018Test,S2,12,full,Inverted43,diagnostic,0.2808580484126864,0.212627536828181,0.08812768492593692,6424.246221577132,81442
Sanyo,Alice2018Test,S2,12,full,Inverted44,diagnostic,0.23056247184508485,0.16190108805038114,0.0014715090578806753,4329.379628901665,81442
Sanyo,Alice2018Test,S2,12,full,Joint-patch Transformer42,accepted,0.3014066577908234,0.21844245402782186,0.06237849692638343,7398.677762436797,81442
Sanyo,Alice2018Test,S2,12,full,Joint-patch Transformer43,accepted,0.25150043741722233,0.17684180229835753,0.08356713543761418,5151.407663454694,81442
Sanyo,Alice2018Test,S2,12,full,Joint-patch Transformer44,accepted,0.22477570284022663,0.16548426782824865,0.057851025772847196,4114.785103104341,81442
Sanyo,Alice2018Test,S2,12,power-active,Original A,accepted,0.28530776978893535,0.18762948744576574,-0.005885448289654047,2980.2359664528854,36612
Sanyo,Alice2018Test,S2,12,power-active,Original B,accepted,0.1848008442056486,0.12664995606742538,0.015441586474100585,1250.3493001240365,36612
Sanyo,Alice2018Test,S2,12,power-active,Expanded A,accepted,0.28530776978893535,0.18762948744576574,-0.005885448289654047,2980.2359664528854,36612
Sanyo,Alice2018Test,S2,12,power-active,Expanded B,accepted,0.1848008442056486,0.12664995606742538,0.015441586474100585,1250.3493001240365,36612
Sanyo,Alice2018Test,S2,12,power-active,Daily,accepted,0.25765821806134476,0.09549911081673915,-0.009696776813047992,2430.588571532452,36612
Sanyo,Alice2018Test,S2,12,power-active,Last-value,accepted,0.6660350890908577,0.512080669493685,-0.03800430082157743,16241.183513228567,36612
Sanyo,Alice2018Test,S2,12,power-active,Depthwise convolutional TCN42,diagnostic,0.3106104566375135,0.258525799618949,-0.22522728277410092,3532.283867545138,36612
Sanyo,Alice2018Test,S2,12,power-active,Depthwise convolutional TCN43,diagnostic,0.24032891049579186,0.1745968172848074,0.06357960664734855,2114.635354878094,36612
Sanyo,Alice2018Test,S2,12,power-active,Depthwise convolutional TCN44,diagnostic,0.32300465252684823,0.2595349752763301,0.18832575235917545,3819.8033873426807,36612
Sanyo,Alice2018Test,S2,12,power-active,Discrete recurrent decoder42,diagnostic,0.29507143545372144,0.22576203729530547,-0.09432436380574995,3187.7025697825898,36612
Sanyo,Alice2018Test,S2,12,power-active,Discrete recurrent decoder43,diagnostic,0.30557363930562,0.21572545886080693,0.04307538164813677,3418.6546177968717,36612
Sanyo,Alice2018Test,S2,12,power-active,Discrete recurrent decoder44,diagnostic,0.2902195636775131,0.20204974611361928,-0.06269564878221358,3083.733390908373,36612
Sanyo,Alice2018Test,S2,12,power-active,Inverted42,accepted,0.319766239401752,0.24820279203578388,-0.06115509323630914,3743.5933970920046,36612
Sanyo,Alice2018Test,S2,12,power-active,Inverted43,diagnostic,0.3297153538201192,0.2591479043069188,0.03419786225979859,3980.171598911522,36612
Sanyo,Alice2018Test,S2,12,power-active,Inverted44,diagnostic,0.31068498099372305,0.24888291404145663,-0.02639027080598372,3533.9790632805443,36612
Sanyo,Alice2018Test,S2,12,power-active,Joint-patch Transformer42,accepted,0.3849508593302833,0.30459685592587704,0.09285833739178682,5425.428451997112,36612
Sanyo,Alice2018Test,S2,12,power-active,Joint-patch Transformer43,accepted,0.3251915118380217,0.2537059991779091,0.11015387882421644,3871.701403229292,36612
Sanyo,Alice2018Test,S2,12,power-active,Joint-patch Transformer44,accepted,0.2810195672646015,0.21341289747306957,0.06949492785330753,2891.322760958597,36612
Sanyo,Alice2018Test,S2,12,low-power,Original A,accepted,0.11707344762379114,0.06389351656725173,0.017775659566474842,614.4485935698771,44830
Sanyo,Alice2018Test,S2,12,low-power,Original B,accepted,0.08371284772980055,0.04551454348975722,0.008985107273128647,314.1615064277192,44830
Sanyo,Alice2018Test,S2,12,low-power,Expanded A,accepted,0.11707344762379114,0.06389351656725173,0.017775659566474842,614.4485935698771,44830
Sanyo,Alice2018Test,S2,12,low-power,Expanded B,accepted,0.08371284772980055,0.04551454348975722,0.008985107273128647,314.1615064277192,44830
Sanyo,Alice2018Test,S2,12,low-power,Daily,accepted,0.002475099553768748,0.00021556024860526683,-7.413017421941857e-07,0.27463386102180026,44830
Sanyo,Alice2018Test,S2,12,low-power,Last-value,accepted,0.17299841587645912,0.02854037392334172,0.028403233608240055,1341.6924984871137,44830
Sanyo,Alice2018Test,S2,12,low-power,Depthwise convolutional TCN42,diagnostic,0.14396591606646283,0.10427370998191358,0.062001095879101104,929.1548730504064,44830
