block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
4,82944.0,22271457.312165584,3732451.688264399,65980875.72310398,8439160.038405724,13577099.926638223,12206072.686671857,13955796.1387562,3648855.131965004,177918356.1733011,YULARA_COMBINED,2018,complete_H144,144,full,48
5,82944.0,33652949.45527489,10378568.404747391,62231686.72989297,13819805.248988684,29247816.41082676,25145005.545633387,28574344.52343904,16228051.74653294,160774202.70118257,YULARA_COMBINED,2018,complete_H144,144,full,48
6,82944.0,25540747.83541192,1415392.4351253093,67104942.81346824,7251587.534580985,12426342.925124189,11439682.743888581,12522571.285106013,2062356.9244550678,181233901.750532,YULARA_COMBINED,2018,complete_H144,144,full,48
7,82944.0,24403752.292965345,915107.9388903904,67221811.2937818,6261865.546787751,15205254.629489908,13899379.543037884,14987199.851507537,737497.1491712094,182323492.82413262,YULARA_COMBINED,2018,complete_H144,144,full,48
8,82944.0,39109189.8278257,13857044.468261201,51549110.15590601,14954360.339719022,29997996.03795956,27704027.0599346,32345975.1202626,17181888.814628743,120324352.49495831,YULARA_COMBINED,2018,complete_H144,144,full,48
9,82944.0,36954964.33531264,11167882.68692442,50129276.697309226,15095347.360846529,31569156.59502739,28430362.785892468,32785856.328740705,18864216.214441024,125920078.94701016,YULARA_COMBINED,2018,complete_H144,144,full,48
10,82944.0,27205967.54985239,6941067.31114177,57555422.68356553,11398169.722211814,20144460.740927737,18488986.326094147,21458377.060950126,13128691.36907787,154056191.67087483,YULARA_COMBINED,2018,complete_H144,144,full,48
11,82944.0,22471616.984205298,2154444.7600404397,59320877.767353244,6894819.61947669,18414781.470549908,16098109.108517254,18540456.3523449,2364386.872982645,159457718.50270322,YULARA_COMBINED,2018,complete_H144,144,full,48
12,82944.0,54482183.93767975,27170779.073388696,46905083.28280327,26741764.025678307,42932485.36549322,40307977.41029121,45226323.3228618,36220896.22769752,81676087.716962,YULARA_COMBINED,2018,complete_H144,144,full,48
13,82944.0,26137900.65483117,25722665.857550647,57980216.40288012,27703015.95168859,19299644.343295928,18389722.63568405,19967380.286106087,37350529.36253138,154446586.84703034,YULARA_COMBINED,2018,complete_H144,144,full,48
14,82944.0,25802162.680206545,3012011.7810912947,61207040.22032988,8685199.026210027,17896620.5136103,17714262.59558146,19619080.177409068,6987053.848377515,161769771.86137187,YULARA_COMBINED,2018,complete_H144,144,full,48
15,82944.0,27622396.3889316,3942192.3994751903,55632706.52176087,7776479.050160537,13044490.07654135,12485831.244702859,15126342.623245412,3836460.3653599336,147958786.51272908,YULARA_COMBINED,2018,complete_H144,144,full,48
16,82944.0,36641492.4218539,31899929.78398011,49643616.86350417,32159838.722534116,22153402.601337392,21661289.203826685,24750992.333919067,44444943.014736734,104185493.91208029,YULARA_COMBINED,2018,complete_H144,144,full,48
17,82944.0,16984339.387165617,2654546.281816947,55897531.44193936,6976332.063506732,8610074.64204402,8181443.5345756,9322026.24394381,3682806.728464131,151380415.33827603,YULARA_COMBINED,2018,complete_H144,144,full,48
18,82944.0,27760192.31076973,7360710.439890525,50343534.07601335,10296829.618485972,12543636.320727272,12335701.629748628,13874564.340273514,11623958.541421374,133323235.52719328,YULARA_COMBINED,2018,complete_H144,144,full,48
19,82944.0,21351201.81954711,477713.7848900441,54776802.668248534,5565300.69764853,13570460.249158027,13015939.803372826,15024431.463676337,179224.76435336907,147527961.68375236,YULARA_COMBINED,2018,complete_H144,144,full,48
20,82944.0,18387935.446654264,439564.3891706567,60586476.50909934,6234217.81807477,9015115.073160745,8172073.230048306,9195418.985174268,75355.89696945612,161988980.84269395,YULARA_COMBINED,2018,complete_H144,144,full,48
21,82944.0,19326382.087004635,355008.557406526,60131877.253305726,5804626.8974127285,9831555.871217834,8665922.098617243,9129715.06470795,54520.83037192664,161662969.52543005,YULARA_COMBINED,2018,complete_H144,144,full,48
22,41173.0,10786355.08464059,399304.04976640886,24296538.532951638,2838384.8326969417,6661252.649939652,5874137.986019566,6005252.680444027,182514.2560016765,37015626.62702805,YULARA_COMBINED,2018,complete_H144,144,full,48
23,61884.0,12688736.50559519,883522.4221862886,37433461.532851405,4503365.474179038,5516686.991225443,4957077.730606719,5317030.08853251,580987.2869590063,106632491.23782603,YULARA_COMBINED,2018,complete_H144,144,full,48
24,82944.0,20517643.283854023,380862.80681419885,57760807.664234206,5690775.676429837,11082033.619784411,10617965.059568085,11257418.237340907,547427.4519009199,152589570.3940907,YULARA_COMBINED,2018,complete_H144,144,full,48
