block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
7,152.0,12.053197611274074,4.667815463517015,12.053197611274074,21.762867277224345,0.0015351539247718449,29.396976676915354,19.417213021803363,20.976160744095512,14.84213480794125,121.1561530801882,119.26875340941285,79.1010622161768,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
8,170.0,20.915609600771155,5.739325588788506,20.915609600771155,30.72270746755919,0.0026094768322647284,39.9710343813391,19.362927242037458,23.635611056902142,21.08657905779771,138.63174951471427,143.03548537728378,103.37803883258867,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
9,259.0,21.236463403480993,7.810727616392209,21.236463403480993,34.48803772064716,0.0018082428425721011,37.011808296939186,22.313558637675158,30.39635185668914,22.622747880471234,137.57905772754106,136.0289671123495,94.68431274216078,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
10,170.0,19.622580916051735,6.008932824378976,19.622580916051735,27.59244105544785,0.0007927291783475015,34.03100395722407,21.49630461127068,25.624572116661845,19.249287861339877,125.24733914814297,124.10097758823083,88.35798909309433,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
11,227.0,104.19986875137431,10.956104336838578,104.19986875137431,29.556260247625325,0.0020757234316063733,20.64188052867401,22.873173800454534,30.54298412777327,36.42221246848445,97.0761984068234,100.05058049551383,71.23115521533909,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
0,268.0,35.23931711121066,12.096417810867951,35.23931711121066,51.94618506286605,0.00246761724577473,83.06423493595392,39.80607682221945,50.112667939771555,37.98212095518154,235.23874151555273,239.31275476551136,158.57759843955395,Qcells,Alice2018Test,S2_new_origins,12,low-power,72
1,255.0,40.50987846208635,9.961146774332423,40.50987846208635,51.967278653382905,0.0038466538742927374,71.5434334831236,35.199644531391044,37.6865511935345,33.56461274595513,234.1842826431625,245.3726600544159,169.9118768402759,Qcells,Alice2018Test,S2_new_origins,12,low-power,72
2,237.0,27.657069782381825,9.700382446421386,27.657069782381825,41.245022769547276,0.0039048477385760765,62.93886028362112,30.084904606070072,38.25864387850018,25.05231185722601,196.44446051022732,192.7565619255162,135.07606707883696,Qcells,Alice2018Test,S2_new_origins,12,low-power,72
3,198.0,16.118110625614804,6.721096263457073,16.118110625614804,30.01191609258403,0.0032521434238667545,48.64256245014674,22.19304988417241,27.07893106142416,19.606189784458312,159.34033734775775,157.65967323613253,111.0356371391636,Qcells,Alice2018Test,S2_new_origins,12,low-power,72
4,286.0,14.243998614381102,8.693149894216859,14.243998614381102,31.837236159965222,0.0017275904331207168,39.93126869387515,25.499013731885505,30.755648917853993,19.918611222399505,157.04518021570576,151.45577226836045,102.21597186501253,Qcells,Alice2018Test,S2_new_origins,12,low-power,72
5,246.0,26.347508337479375,7.774133434173601,26.347508337479375,42.24116892365975,0.0028249164972852132,55.43675931339406,28.380309038718895,33.12033195296916,27.978218936393517,199.95583270354047,205.27695268612584,143.48177256276708,Qcells,Alice2018Test,S2_new_origins,12,low-power,72
6,344.0,30.828815036654806,10.9311054544046,30.828815036654806,48.735376217793906,0.00203517215992367,55.39327959734305,33.47844827644636,44.07299711309598,32.59664349750351,201.38136993599417,199.2365601356715,139.75478281980745,Qcells,Alice2018Test,S2_new_origins,12,low-power,72
7,312.0,114.23009803425222,13.844659323205168,114.23009803425222,42.90136280592642,0.002641523292602306,36.29141318549423,33.20458877295401,42.49091098802829,45.69760471279206,158.52122534651323,160.9439650604227,114.51867423078674,Qcells,Alice2018Test,S2_new_origins,12,low-power,72
0,10223.0,2143.3862100908177,75.12169152363113,2143.3862100908177,95.46069478028865,91.21517602212444,19141.963389263263,891.7568806006701,1424.1008084938046,1443.3777290629353,2029.8558043227,2028.438887974121,1530.9802039745714,Qcells,Alice2018Test,Original,144,full,24
1,20448.0,10618.735332483178,1092.2603516416384,10618.735332483178,1320.472078290372,1215.2138064480864,110977.9219760201,5260.711367879112,7303.735750214659,7339.25925075548,9908.175078215134,9802.422209552144,9583.908188892497,Qcells,Alice2018Test,Original,144,full,24
2,20448.0,18450.480245866755,1194.3385439191725,18450.480245866755,1427.849217635659,1410.8985049518542,115124.29185734724,22453.827155061623,23822.43623966278,21534.575609098385,21547.228661640038,20797.2500442061,17685.33104597997,Qcells,Alice2018Test,Original,144,full,24
3,20448.0,31414.276818441263,1204.6178385975634,31414.276818441263,1728.4323819561039,1258.710544202589,122008.98585476197,37352.968059003346,43420.58125614903,38565.435177941086,36139.267691432746,38125.36906466104,30063.971685690347,Qcells,Alice2018Test,Original,144,full,24
4,20448.0,11280.442266950085,469.89976022287766,11280.442266950085,746.3791769866784,762.7714024011748,124394.79350672681,5102.590934836379,4818.917409928983,5670.716081153987,4683.202395821246,5375.331088821629,3957.3786575977997,Qcells,Alice2018Test,Original,144,full,24
5,20448.0,8535.168988007581,247.649800732127,8535.168988007581,459.6484221175118,31.237905823631646,123110.41378413793,4984.2371990424,5342.947280560896,6020.328652515247,5354.195550351377,6321.4599080662765,4488.7791802263155,Qcells,Alice2018Test,Original,144,full,24
6,20448.0,9012.115396465098,193.2420448583692,9012.115396465098,369.46269431773743,143.640498347607,117508.72061040737,6273.293215116106,7918.482482618996,7052.552453210822,8706.185962470743,8669.236334033618,8832.934896702045,Qcells,Alice2018Test,Original,144,full,24
7,20448.0,12849.711983946283,432.1707829394846,12849.711983946283,531.0704347088738,339.76832260239007,112335.29586095855,6394.984750102214,9155.646837800592,8855.273451579675,12738.501096427399,12708.936143601937,11978.943896425928,Qcells,Alice2018Test,Original,144,full,24
8,20448.0,5489.900426365402,384.3538291188632,5489.900426365402,486.48077162194727,234.98793477548364,110277.42417947901,7428.062948899077,6595.786076248064,4527.059202207897,5306.891683432472,5512.389213811619,4652.932460440483,Qcells,Alice2018Test,Original,144,full,24
9,20304.0,13467.969071399153,426.11993758804437,13467.969071399153,766.4534724216516,80.34523134447018,114382.84661940983,15436.833572684793,16473.05357117498,13406.741270480605,15331.978244135196,15847.054870918753,11986.816637711758,Qcells,Alice2018Test,Original,144,full,24
