site,method,model,seed,horizon,scope,status,points,Daily_RMSE,difference_RMS_kW,difference_MAE_kW,RMSE_bound_passed,MAE_bound_passed,old_RMSE,new_RMSE,delta_RMSE_kW,delta_RMSE_W,old_MAE,new_MAE,delta_MAE_kW,delta_MAE_W,old_bias,new_bias,delta_bias_kW,delta_bias_W,old_effect_vs_Daily,new_effect_vs_Daily,old_skill,new_skill
Sanyo,Discrete recurrent decoder44,Discrete recurrent decoder,44,12,low-power,diagnostic,42815,0.002410485891560714,7.049922212773197e-07,4.2299462325021135e-07,True,True,0.06559894878854297,0.06559895579547191,7.006928939845558e-09,7.006928939845558e-06,0.05380891104675607,0.05380891581845523,4.7716991607993364e-09,4.7716991607993364e-06,0.01877445978950815,0.018774454454973208,-5.334534942252889e-09,-5.334534942252889e-06,0.06318846289698225,0.06318846990391119,-26.213994082358933,-26.213996989212262
Sanyo,Discrete recurrent decoder44,Discrete recurrent decoder,44,144,full,diagnostic,598317,0.11814159529269164,5.631436016751499e-06,1.9370693024552496e-06,True,True,0.8993640819176916,0.8993640075816102,-7.433608140150483e-08,-7.433608140150483e-05,0.46259940832961455,0.4625993518617684,-5.646784612123312e-08,-5.646784612123312e-05,-0.285210974666136,-0.2852109596567977,1.5009338272253814e-08,1.5009338272253814e-05,0.7812224866249999,0.7812224122889185,-6.6125946978246635,-6.612594068612901
Sanyo,Discrete recurrent decoder44,Discrete recurrent decoder,44,144,power-active,diagnostic,259345,0.17941654249698688,8.375053546669852e-06,3.82388011515749e-06,True,True,1.3411943033568543,1.3411941901094777,-1.1324737658746642e-07,-0.00011324737658746642,0.9740250017131761,0.9740248742229456,-1.2749023048375108e-07,-0.00012749023048375108,-0.7235523212971049,-0.7235522809479137,4.0349191210431457e-08,4.0349191210431457e-05,1.1617777608598674,1.1617776476124908,-6.475310161990098,-6.475309530792021
Sanyo,Discrete recurrent decoder44,Discrete recurrent decoder,44,144,low-power,diagnostic,338972,0.0027584819230325602,1.520442409766455e-06,4.934841384291286e-07,True,True,0.22683692371853248,0.22683691579126994,-7.927262540841085e-09,-7.927262540841085e-06,0.07131142431895951,0.07131142218982063,-2.129138879092274e-09,-2.129138879092274e-06,0.05016078625219538,0.050160781874197376,-4.3779980057889745e-09,-4.3779980057889745e-06,0.2240784417954999,0.2240784338682374,-81.23252138232517,-81.23251850854794
Sanyo,Inverted42,Inverted-variate Transformer,42,12,full,accepted,79005,0.17521872293338112,1.5835527052160695e-06,1.2557958214674373e-06,True,True,0.2650886492982942,0.2650887684009845,1.1910269032133769e-07,0.00011910269032133769,0.20600191502365317,0.20600211749140254,2.024677493717153e-07,0.0002024677493717153,0.059832307197814724,0.0598326025946299,2.9539681517531946e-07,0.00029539681517531946,0.08986992636491306,0.08987004546760338,-0.5129013889633358,-0.5129020687005712
Sanyo,Inverted42,Inverted-variate Transformer,42,12,power-active,accepted,36190,0.2588756697513815,1.6194753444206237e-06,1.2744996250478659e-06,True,True,0.3178919836431908,0.3178919072713162,-7.637187460218797e-08,-7.637187460218797e-05,0.24671995466393665,0.24671989405414416,-6.06097924904514e-08,-6.06097924904514e-05,-0.06614708292938351,-0.06614697977325537,1.0315612813949215e-07,0.00010315612813949215,0.059016313891809336,0.05901623751993473,-0.22797165121190144,-0.22797135619818043
Sanyo,Inverted42,Inverted-variate Transformer,42,12,low-power,accepted,42815,0.002410485891560714,1.5525404998279538e-06,1.2399861600969897e-06,True,True,0.2103614579898298,0.2103618324947085,3.7450487869183924e-07,0.00037450487869183924,0.17158440119481144,0.17158482603267036,4.248378589200019e-07,0.0004248378589200019,0.16631821467657926,0.16631867256762461,4.5789104535787217e-07,0.00045789104535787217,0.2079509720982691,0.2079513466031478,-86.26931724691711,-86.26947261180848
Sanyo,Inverted42,Inverted-variate Transformer,42,144,full,accepted,598317,0.11814159529269164,3.3666843618356994e-06,2.631461071018543e-06,True,True,0.7806551435120441,0.7806552101766312,6.666458707282885e-08,6.666458707282885e-05,0.5073424150725288,0.5073427011549927,2.8608246394057346e-07,0.00028608246394057346,-0.12491352137072789,-0.12491377825712878,-2.5688640088727954e-07,-0.00025688640088727954,0.6625135482193525,0.6625136148839396,-5.607792467826412,-5.60779303210343
Sanyo,Inverted42,Inverted-variate Transformer,42,144,power-active,accepted,259345,0.17941654249698688,3.448411158109144e-06,2.725415488651771e-06,True,True,1.0700470615121418,1.0700470713383816,9.826239821819627e-09,9.826239821819627e-06,0.8101490058063417,0.8101492898466716,2.8404032981210747e-07,0.00028404032981210747,-0.4555274662412839,-0.4555285104865777,-1.0442452938463909e-06,-0.0010442452938463909,0.8906305190151549,0.8906305288413947,-4.964037912112325,-4.964037966880071
Sanyo,Inverted42,Inverted-variate Transformer,42,144,low-power,accepted,338972,0.0027584819230325602,3.3027905449484045e-06,2.5595772327041995e-06,True,True,0.44682819940040186,0.44682838697682714,1.8757642528122176e-07,0.00018757642528122176,0.27566730540606443,0.2756675930509504,2.876448859656655e-07,0.0002876448859656655,0.12803679173021953,0.12803713724635363,3.4551613409261606e-07,0.00034551613409261606,0.4440697174773693,0.44406990505379457,-160.9833705160473,-160.98343851592205
