block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
2,82880.0,167768578.15104315,71610934.69667146,167768416.80867746,71610934.69667146,99510949.9165075,103362565.24633572,107855858.45006725,107193852.43143314,643070662.9672629,NIST_GROUND,2017,complete_H144,144,full,48
3,82944.0,198190645.98405853,107576646.684218,198190362.15167192,107576646.684218,119668960.9604906,118467303.28584608,140152875.26915577,178346887.40751478,469562859.38298243,NIST_GROUND,2017,complete_H144,144,full,48
4,82944.0,190222121.31114355,98051220.30704227,190222156.20014837,98051220.30704227,130532497.74341832,126352969.67294921,144905887.40688834,129247591.25835542,383282709.33105105,NIST_GROUND,2017,complete_H144,144,full,48
5,48750.0,156959996.46353862,88586745.60903575,156959704.75033697,88586745.60903575,104630411.79274717,95981669.26188658,121622032.02755,141188717.8555956,6846279.966256841,NIST_GROUND,2017,complete_H144,144,full,48
6,61842.0,127915470.90099004,22672164.001291715,127915454.73748818,22672164.001291715,73050875.74218126,67253878.59715241,81162127.54225832,10663454.50604685,108901246.13803865,NIST_GROUND,2017,complete_H144,144,full,48
7,82800.0,180629252.36293265,59463671.0865055,180629465.3424026,59463671.0865055,114631258.15246965,106797702.88889016,115560339.54803978,55007457.03367584,517136570.85910964,NIST_GROUND,2017,complete_H144,144,full,48
8,82944.0,269786149.8251973,76718555.06496318,269785109.3927349,76718555.06496318,118555690.70155112,123193316.99280053,119115946.75989221,87706031.96115841,1081514947.6255934,NIST_GROUND,2017,complete_H144,144,full,48
9,46800.0,151757895.6229961,17361308.988159806,151757646.89822277,17361308.988159806,76317263.78950723,75460022.40753081,73430882.08227699,974806.4667582795,583772382.1220438,NIST_GROUND,2017,complete_H144,144,full,48
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NIST_GROUND,2017,complete_H144,144,full,48
11,42257.0,101729226.69327454,97981746.7116939,101729453.18444769,97981746.7116939,67538071.81467284,67039200.00156827,66965216.75193708,109719236.27217354,342228263.05123615,NIST_GROUND,2017,complete_H144,144,full,48
12,73152.0,227324709.09450266,64883977.604326114,227324827.96011537,64883977.604326114,162841157.20418,161309270.04300806,160651188.50860983,75480211.89590542,793352211.0416214,NIST_GROUND,2017,complete_H144,144,full,48
13,71712.0,156668570.16879848,45834890.4684742,156669632.74242356,45834890.4684742,116392696.73640792,116632249.59983194,126702991.54942097,64676701.28539648,639460793.0652908,NIST_GROUND,2017,complete_H144,144,full,48
14,82944.0,291541516.3015736,307523742.5869419,291541438.99858046,307523742.5869419,227836529.48562747,222187233.0502818,236224179.02878413,484238499.50633216,539134581.3041313,NIST_GROUND,2017,complete_H144,144,full,48
15,82944.0,192001073.68688422,124184497.37695621,192000589.1068833,124184497.37695621,169663720.30847055,163274083.6488279,171781356.59417415,246077738.80150124,552850112.9933017,NIST_GROUND,2017,complete_H144,144,full,48
16,82944.0,196692404.7340069,155209161.11149618,196692537.20379877,155209161.11149618,187566231.3877389,184299169.2483201,202820389.7947375,239296816.02782258,531802938.31971395,NIST_GROUND,2017,complete_H144,144,full,48
17,82944.0,222950614.2297299,165487639.48805502,222950955.1013061,165487639.48805502,179212794.6273813,171170042.00650904,191881996.28884634,262138713.33169165,346631647.3272014,NIST_GROUND,2017,complete_H144,144,full,48
